,0,1,2,3,4
0,time,position,velocity,current,rpm
1,2022-05-04 16:26:37.736000,-0.018,0.041,7.38,50.354
2,2022-05-04 16:26:37.769000,-0.013,0.443,18.934,250.855
3,2022-05-04 16:26:37.798000,0.009,1.103,22.33,509.949
4,2022-05-04 16:26:37.829000,0.052,1.912,24.376,787.354
5,2022-05-04 16:26:37.870000,0.151,3.109,24.772,1175.537
6,2022-05-04 16:26:37.900000,0.262,3.943,23.704,1451.111
7,2022-05-04 16:26:37.929000,0.386,4.771,24.361,1730.347
8,2022-05-04 16:26:37.958000,0.538,5.616,24.827,2009.583
9,2022-05-04 16:26:37.990000,0.723,6.472,25.763,2330.933
10,2022-05-04 16:26:38.018000,0.92,7.209,25.401,2535.095
11,2022-05-04 16:26:38.051000,1.15,7.803,14.943,2638.55
12,2022-05-04 16:26:38.081000,1.408,8.01,10.433,2687.073
13,2022-05-04 16:26:38.128000,1.653,8.054,8.317,2730.103
