0,time,position,velocity,current,rpm
1,12:14:13,-0.017,0.003,-4.6,21.973
2,12:14:13,-0.016,0.124,-12.372,93.384
3,12:14:13,-0.011,0.432,-17.077,204.163
4,12:14:13,0,0.839,-20.115,351.563
5,12:14:13,0.021,1.315,-21.915,502.625
6,12:14:13,0.047,1.731,-21.71,668.335
7,12:14:13,0.082,2.199,-23.771,839.539
8,12:14:13,0.125,2.73,-23.648,1009.827
9,12:14:13,0.177,3.263,-21.82,1202.088
10,12:14:13,0.249,3.814,-23.044,1377.869
11,12:14:13,0.327,4.378,-23.901,1522.522
12,12:14:13,0.404,4.851,-23.132,1699.219
13,12:14:13,0.497,5.302,-23.248,1859.436
14,12:14:13,0.6,5.861,-25.059,2045.288
15,12:14:13,0.714,6.397,-24.131,2200.928
16,12:14:13,0.831,6.89,-22.669,2365.723
17,12:14:13,0.963,7.322,-25.304,2505.799
18,12:14:13,1.1,7.77,-15.714,2613.831
19,12:14:13,1.236,7.927,-12.802,2660.523
20,12:14:13,1.373,8.079,-8.717,2693.482
21,12:14:13,1.518,8.103,-7.249,2704.468
22,12:14:13,1.658,8.145,-7.549,2713.623
23,12:14:14,1.799,8.103,-12.697,2707.215
