time,position,velocity,current,rpm
17:20:17,0.032,0.05,-6.631,57.678
17:20:17,0.037,0.426,-16.439,239.868
17:20:17,0.058,1.035,-18.481,1129.761
17:20:17,0.276,3.552,-25.018,1237.793
17:20:17,0.357,4.193,-25.312,1456.604
17:20:17,0.408,4.565,-23.694,1562.805
17:20:17,0.463,4.832,-24.827,1690.979
17:20:17,0.521,5.209,-25.115,1788.941
17:20:17,0.585,5.566,-23.992,1880.493
17:20:17,0.657,5.877,-23.807,1996.765
17:20:17,0.725,6.177,-25.355,2145.081
17:20:17,0.801,6.472,-25.192,2224.732
17:20:17,0.875,6.832,-26.478,2336.426
17:20:17,0.957,7.223,-24.756,2422.486
17:20:17,1.045,7.416,-28.23,2541.504
17:20:17,1.136,7.715,-24.797,2625.733
17:20:17,1.232,8.197,-25.509,2758.484
17:20:17,1.329,8.45,-25.527,2882.996
17:20:17,1.435,8.86,-26.276,3013.916
17:20:17,1.545,9.05,-32.874,3046.875
17:20:17,1.646,9.509,-24.002,3167.725
17:20:17,1.762,9.534,-21.37,3229.981
